Date,Price,Open,High,Low,Vol.,Change %
14-Dec-18,530,536.38,537.62,527.75,-,-1.12%
13-Dec-18,536,528.25,538.5,526,-,1.90%
12-Dec-18,526,522,528.75,521.25,-,0.91%
11-Dec-18,521.25,524.88,528.88,517.5,-,-0.62%
10-Dec-18,524.5,531.25,531.25,524.5,-,-1.22%
09-Dec-18,531,531,531,531,-,-0.14%
07-Dec-18,531.75,516.25,532,515.25,-,3.05%
06-Dec-18,516,518.25,518.25,510,-,-0.39%
05-Dec-18,518,522.75,522.75,513.5,-,-0.96%
04-Dec-18,523,519.25,523.25,516,-,0.72%
03-Dec-18,519.25,527.75,529.25,517,-,0.73%
30-Nov-18,515.5,507.75,519.25,507.25,-,1.53%
29-Nov-18,507.75,511.25,514.5,506,-,-0.68%
28-Nov-18,511.25,507,513,505.25,-,0.94%
27-Nov-18,506.5,513.5,516.75,504,-,-1.36%
26-Nov-18,513.5,510,514.25,509,-,2.75%
23-Nov-18,499.75,498,507.5,498,-,0.35%
22-Nov-18,498,498,498,498,-,0.00%
21-Nov-18,498,500.75,504.25,497.75,-,-0.55%
20-Nov-18,500.75,497,502.5,495.5,-,0.55%
19-Nov-18,498,506.5,507.25,496,-,-1.73%
16-Nov-18,506.75,505.5,508.75,502.75,-,0.25%
15-Nov-18,505.5,503.75,509,503.25,-,0.35%
14-Nov-18,503.75,506.5,511,501,-,-0.54%
13-Nov-18,506.5,518.75,520.75,506,-,-2.36%
12-Nov-18,518.75,501.5,520.75,501.25,-,3.29%
09-Nov-18,502.25,507.25,508,500.75,-,-0.99%
08-Nov-18,507.25,509.5,517,503.25,-,-0.44%
07-Nov-18,509.5,512,514.25,507.25,-,-0.34%
06-Nov-18,511.25,506.75,514,505.5,-,0.89%
05-Nov-18,506.75,508.5,512.25,503.75,-,-0.34%
04-Nov-18,508.5,508.5,508.5,508.5,-,0.00%
02-Nov-18,508.5,508,509.75,502.75,-,-0.05%
01-Nov-18,508.75,501.5,510,500.75,-,1.60%
31-Oct-18,500.75,498.25,501.75,490,-,0.30%
30-Oct-18,499.25,505.75,507.5,497,-,-1.24%
29-Oct-18,505.5,511.5,515,502.75,-,-1.08%
28-Oct-18,511,510.75,511,510.25,-,1.24%
26-Oct-18,504.75,486.75,506.75,486.75,-,3.64%
25-Oct-18,487,499,499.25,485.5,-,-2.65%
24-Oct-18,500.25,509.75,510.5,496.75,-,-2.01%
23-Oct-18,510.5,508.5,511.25,505.25,-,0.39%
22-Oct-18,508.5,513.5,513.75,507.25,-,-0.88%
21-Oct-18,513,513.5,513.75,513,-,-0.19%
19-Oct-18,514,512.5,518.5,510.75,-,0.19%
18-Oct-18,513,515.5,519.5,511,-,-0.48%
17-Oct-18,515.5,522,523.5,515.5,-,-1.10%
16-Oct-18,521.25,525.5,527,521,-,-0.76%
15-Oct-18,525.25,518.75,525.75,514.75,-,1.25%
14-Oct-18,518.75,518.5,519,518.5,-,0.19%
12-Oct-18,517.75,507.5,519,507.5,-,1.97%
11-Oct-18,507.75,510.5,521,506.5,-,-0.54%
10-Oct-18,510.5,516.5,518,510.25,-,-1.11%
09-Oct-18,516.25,513,520.5,511.25,-,0.63%
08-Oct-18,513,524.5,525,512.75,-,-2.15%
07-Oct-18,524.25,525,525,524.25,-,0.24%
05-Oct-18,523,517.5,524.5,517.25,-,1.11%
04-Oct-18,517.25,516,520.75,513.75,-,0.19%
03-Oct-18,516.25,522.75,527.25,514.25,-,-1.15%
02-Oct-18,522.25,510.25,524.5,505.25,-,2.30%
01-Oct-18,510.5,512.25,515.25,505.5,-,-0.34%
30-Sep-18,512.25,509.75,512.25,509.75,-,0.34%
28-Sep-18,510.5,512.75,518,505.5,-,-0.34%
27-Sep-18,512.25,517.25,522,511.25,-,-1.11%
26-Sep-18,518,522,527,517,-,-0.77%
25-Sep-18,522,525.25,525.75,516.25,-,-0.52%
24-Sep-18,524.75,521.5,531.25,520,-,0.67%
23-Sep-18,521.25,521.75,521.75,521,-,-0.24%
21-Sep-18,522.5,521.25,524,515.25,-,0.29%
20-Sep-18,521,523.25,525.5,516,-,-0.43%
19-Sep-18,523.25,511,523.25,511,-,2.40%
18-Sep-18,511,508.25,514.25,506.5,-,0.54%
17-Sep-18,508.25,512.75,517.5,505.5,-,-1.07%
16-Sep-18,513.75,512.75,513.75,512.75,-,0.39%
14-Sep-18,511.75,497.25,514.25,496.25,-,3.02%
13-Sep-18,496.75,505.75,509.75,495.25,-,-1.78%
12-Sep-18,505.75,520,529.25,500.25,-,-2.79%
11-Sep-18,520.25,529.5,532.75,517.25,-,-1.75%
10-Sep-18,529.5,513.75,529.75,508.5,-,3.17%
09-Sep-18,513.25,512,513.5,512,-,0.05%
07-Sep-18,513,513.5,514.5,507.5,-,-0.05%
06-Sep-18,513.25,522.25,524.5,512.75,-,-1.72%
05-Sep-18,522.25,530.5,538.25,521.25,-,-1.51%
04-Sep-18,530.25,538.25,542.5,519.75,-,-1.58%
03-Sep-18,538.75,537.75,539,537.75,-,-1.42%
31-Aug-18,546.5,536.75,548,535.75,-,2.01%
30-Aug-18,535.75,546.5,549.5,530.25,-,-1.88%
29-Aug-18,546,522.25,546.25,521.5,-,4.50%
28-Aug-18,522.5,522.75,529,518.75,-,-0.05%
27-Aug-18,522.75,535.75,535.75,521.75,-,1.80%
24-Aug-18,513.5,520.5,521.5,513,-,-1.58%
23-Aug-18,521.75,529.75,531.25,515.5,-,-1.79%
22-Aug-18,531.25,526.25,534.25,520.5,-,0.95%
21-Aug-18,526.25,542,543,526,-,-3.13%
20-Aug-18,543.25,562.75,562.75,540.75,-,-2.99%
17-Aug-18,560,541.75,562.75,535.25,-,3.23%
16-Aug-18,542.5,532.5,547.5,531,-,1.93%
15-Aug-18,532.25,540.75,542.5,528.25,-,-1.62%
14-Aug-18,541,535,544,532.25,-,1.12%
13-Aug-18,535,546.25,549.5,530.75,-,-2.19%
10-Aug-18,547,564.75,574,546.5,-,-3.14%
09-Aug-18,564.75,570.5,573.5,562,-,-1.05%
08-Aug-18,570.75,569.75,578,564.5,-,0.18%
07-Aug-18,569.75,575.5,586,564.25,-,-0.96%
06-Aug-18,575.25,555,576,551.5,-,2.95%
03-Aug-18,558.75,563.25,567.75,554,-,-0.84%
02-Aug-18,563.5,560,593,559.5,-,0.71%
01-Aug-18,559.5,555.25,566,550.75,-,0.90%
31-Jul-18,554.5,543.75,565,540.5,-,1.93%
30-Jul-18,544,534.25,551.75,533,-,2.59%
27-Jul-18,530.25,536,542,525.25,-,-1.07%
26-Jul-18,536,544.5,553.75,532,-,-1.52%
25-Jul-18,544.25,512,545.25,511.5,-,6.40%
24-Jul-18,511.5,510.75,516,505.25,-,-0.05%
23-Jul-18,511.75,518.5,522.5,511.75,-,-0.73%
22-Jul-18,515.5,515.5,515.5,515.5,-,0.05%
20-Jul-18,515.25,503.75,519.75,503.5,-,2.33%
19-Jul-18,503.5,493.5,505.75,490.25,-,2.08%
18-Jul-18,493.25,498.75,505,493.25,-,-1.05%
17-Jul-18,498.5,491.25,504.25,487.75,-,1.48%
16-Jul-18,491.25,494.5,498.5,486.75,-,-1.16%
13-Jul-18,497,484.5,497.5,481.25,-,2.58%
12-Jul-18,484.5,474.5,488.5,473,-,2.11%
11-Jul-18,474.5,488,490.5,471.25,-,-2.82%
10-Jul-18,488.25,505.25,507.5,488,-,-3.32%
09-Jul-18,505,514,514,503.5,-,-1.70%
06-Jul-18,513.75,503.75,516.25,498.5,-,2.09%
05-Jul-18,503.25,497.5,508.5,496.5,-,2.55%
03-Jul-18,490.75,482.5,493,481.75,-,2.03%
02-Jul-18,481,501.75,509.5,479.5,-,-4.18%
29-Jun-18,502,484.75,509,483.5,-,3.56%
28-Jun-18,484.75,487.5,492.75,482.75,-,-0.77%
27-Jun-18,488.5,483,491.75,482.25,-,1.24%
26-Jun-18,482.5,491.75,495.75,480.25,-,-1.88%
25-Jun-18,491.75,503.25,503.25,487,-,0.46%
22-Jun-18,489.5,497,497.25,487.25,-,-1.46%
21-Jun-18,496.75,491.5,498.5,482.25,-,1.02%
20-Jun-18,491.75,478,491.75,474.75,-,2.93%
19-Jun-18,477.75,489.5,490.5,467.5,-,-2.35%
18-Jun-18,489.25,495.25,499,487.75,-,-2.10%
15-Jun-18,499.75,502,508.5,487,-,-0.40%
14-Jun-18,501.75,515.75,517,498.25,-,-2.71%
13-Jun-18,515.75,534.5,538.75,514.5,-,-3.51%
12-Jun-18,534.5,514.25,538.25,510.25,-,3.84%
11-Jun-18,514.75,520.25,528,511.75,-,-1.62%
08-Jun-18,523.25,530.25,533.5,513.5,-,-1.23%
07-Jun-18,529.75,520,537,519.25,-,1.83%
06-Jun-18,520.25,509.25,531,507.5,-,2.16%
05-Jun-18,509.25,507.5,518.75,506.25,-,0.39%
04-Jun-18,507.25,520.5,520.5,503.25,-,-3.01%
01-Jun-18,523,524.75,528,518.25,-,-0.38%
31-May-18,525,520.5,531.5,515.25,-,1.01%
30-May-18,519.75,534,534,516.5,-,-2.81%
29-May-18,534.75,548.25,554,531.75,-,-2.42%
28-May-18,548,548,548,548,-,0.60%
25-May-18,544.75,529,544.75,528.75,-,2.98%
24-May-18,529,531.75,545,528.75,-,-0.56%
23-May-18,532,521.5,532,517.25,-,2.06%
22-May-18,521.25,505.25,530.25,503.5,-,3.01%
21-May-18,506,523.25,525.5,504.25,-,-2.36%
20-May-18,518.25,518.25,518.25,518.25,-,0.00%
18-May-18,518.25,496.25,518.75,496,-,4.17%
17-May-18,497.5,496.25,504.75,495,-,0.35%
16-May-18,495.75,493.5,498.75,491,-,0.35%
15-May-18,494,491.25,496.25,486.25,-,0.61%
14-May-18,491,498.75,498.75,490.25,-,-1.31%
11-May-18,497.5,503.25,505.25,497,-,-1.14%
10-May-18,503.25,510.75,514.75,500.5,-,-1.47%
09-May-18,510.75,515.25,515.25,506.25,-,-0.78%
08-May-18,514.75,510.75,520,506.75,-,0.93%
07-May-18,510,522.25,523.75,510,-,-2.30%
06-May-18,522,522,522,522,-,-0.43%
04-May-18,524.25,536.25,537.25,523.5,-,-2.33%
03-May-18,536.75,525.25,538.5,521,-,2.14%
02-May-18,525.5,528.75,534.5,521.25,-,-0.61%
01-May-18,528.75,513.25,529.75,506,-,3.07%
30-Apr-18,513,501,513,501,-,3.64%
27-Apr-18,495,480.5,495.75,480.25,-,3.02%
26-Apr-18,480.5,488.25,491.5,476.75,-,-1.59%
25-Apr-18,488.25,473.5,488.5,472.25,-,3.22%
24-Apr-18,473,461,474,455.5,-,2.60%
23-Apr-18,461,464.25,469,458.75,-,-0.54%
22-Apr-18,463.5,463.5,463.5,463.5,-,0.00%
20-Apr-18,463.5,476.5,476.75,462.25,-,-2.73%
19-Apr-18,476.5,476.75,480,472,-,0.00%
18-Apr-18,476.5,466.25,477.25,465.5,-,2.25%
17-Apr-18,466,463.5,470.75,461.75,-,0.65%
16-Apr-18,463,466.5,470,461.5,-,-2.22%
13-Apr-18,473.5,480.5,480.5,469.5,-,-1.46%
12-Apr-18,480.5,484.25,484.5,475,-,-0.72%
11-Apr-18,484,491,492,483,-,-1.38%
10-Apr-18,490.75,491,494,482.75,-,-0.15%
09-Apr-18,491.5,477.25,493.5,475,-,4.13%
06-Apr-18,472,461.25,472.75,459.25,-,2.39%
05-Apr-18,461,457.5,465.5,456.5,-,0.77%
04-Apr-18,457.5,456.25,461.5,447.25,-,0.22%
03-Apr-18,456.5,448.25,463.5,448.25,-,1.78%
02-Apr-18,448.5,454,457.25,445.75,-,-0.72%
29-Mar-18,451.75,447,455.75,441.5,-,1.18%
28-Mar-18,446.5,449.5,452.5,444.5,-,-0.56%
27-Mar-18,449,454.25,457.5,448.75,-,-1.16%
26-Mar-18,454.25,462.75,463.5,451.25,-,-1.25%
23-Mar-18,460,455,461.5,446.5,-,0.77%
22-Mar-18,456.5,454.25,459.75,451.5,-,0.50%
21-Mar-18,454.25,453.75,454.5,446.75,-,0.22%
20-Mar-18,453.25,451.5,457.5,451.5,-,0.22%
19-Mar-18,452.25,465,466,450.25,-,-3.37%
16-Mar-18,468,478,482.25,467,-,-2.40%
15-Mar-18,479.5,489.5,493.25,476,-,-2.04%
14-Mar-18,489.5,485.5,490.5,483,-,0.67%
13-Mar-18,486.25,490.25,498,484.75,-,-0.77%
12-Mar-18,490,488.5,492.75,483,-,-0.05%
09-Mar-18,490.25,499.25,499.25,486,-,-1.80%
08-Mar-18,499.25,497.5,502.5,490.25,-,0.35%
07-Mar-18,497.5,506,509.75,496,-,-1.68%
06-Mar-18,506,507,507.5,495.5,-,-0.20%
05-Mar-18,507,507.75,510.25,495.25,-,1.60%
02-Mar-18,499,516,518.5,493.25,-,-3.29%
01-Mar-18,516,495.5,517.75,489.5,-,4.77%
28-Feb-18,492.5,477.5,499.5,476.5,-,3.14%
27-Feb-18,477.5,473.75,479,473.5,-,0.79%
26-Feb-18,473.75,468.75,476.75,467.75,-,4.81%
23-Feb-18,452,450.75,456.25,450.75,-,0.28%
22-Feb-18,450.75,447.5,451.75,445.25,-,0.73%
21-Feb-18,447.5,449.25,452,445.5,-,-0.39%
20-Feb-18,449.25,458,463.25,449,-,-1.91%
19-Feb-18,458,458,458,458,-,0.00%
18-Feb-18,458,458,458,458,-,0.00%
16-Feb-18,458,461.5,464.5,456.75,-,-0.76%
15-Feb-18,461.5,455.25,463.5,452.25,-,1.48%
14-Feb-18,454.75,458.25,460.5,453.75,-,-0.98%
13-Feb-18,459.25,464.25,467.25,459,-,-1.08%
12-Feb-18,464.25,452.5,465,451.5,-,3.34%
09-Feb-18,449.25,456.5,456.5,448.25,-,-1.59%
08-Feb-18,456.5,461,464.5,451.5,-,-0.98%
07-Feb-18,461,446.75,461.75,446.75,-,3.19%
06-Feb-18,446.75,442,447.75,438.75,-,1.07%
05-Feb-18,442,447,447,438.75,-,-1.12%
04-Feb-18,447,447,447,447,-,0.00%
02-Feb-18,447,451.25,451.25,445,-,-0.94%
01-Feb-18,451.25,451.5,451.5,443.25,-,-0.06%
31-Jan-18,451.5,458,458.75,447.5,-,-1.42%
30-Jan-18,458,449,458.25,449,-,2.00%
29-Jan-18,449,443.5,449.75,443.5,-,1.53%
26-Jan-18,442.25,434.25,442.5,434.25,-,1.84%
25-Jan-18,434.25,432.5,438.75,429.5,-,0.40%
24-Jan-18,432.5,421.75,433.75,420.75,-,2.55%
23-Jan-18,421.75,425.5,425.5,419.75,-,-0.88%
22-Jan-18,425.5,424.25,427.5,423.25,-,0.53%
19-Jan-18,423.25,425.5,427.25,421.5,-,-0.35%
18-Jan-18,424.75,421.5,425.75,421.25,-,0.77%
17-Jan-18,421.5,416.25,423,415.5,-,1.26%
16-Jan-18,416.25,420.75,422.5,413.25,-,-1.07%
12-Jan-18,420.75,433.75,436,418.75,-,-3.00%
11-Jan-18,433.75,434,434.25,428.75,-,-0.06%
10-Jan-18,434,431.75,435,431.5,-,0.52%
09-Jan-18,431.75,427,433.75,425.5,-,1.11%
08-Jan-18,427,430.25,432.25,425.75,-,-0.93%
05-Jan-18,431,433.5,433.75,427.5,-,-0.58%
04-Jan-18,433.5,435,436,431,-,-0.34%
03-Jan-18,435,434.25,437,432,-,0.17%
02-Jan-18,434.25,429.5,436,429.5,-,1.58%
29-Dec-17,427.5,426.75,428,424,-,0.18%
28-Dec-17,426.75,427.25,428.5,425.25,-,-0.12%
27-Dec-17,427.25,422.25,428.25,420.75,-,1.18%
26-Dec-17,422.25,424.75,426.75,420.75,-,-0.59%
22-Dec-17,424.75,426.75,429,424.5,-,-0.53%
21-Dec-17,427,424,427.5,423,-,0.95%
20-Dec-17,423,419.5,424.5,416.38,-,0.71%
19-Dec-17,420,421,424,419.5,-,-0.18%
18-Dec-17,420.75,420.75,423.5,419.5,-,0.66%
15-Dec-17,418,419,421.5,415.5,-,0.06%
14-Dec-17,417.75,417.5,420.75,416.25,-,0.12%
13-Dec-17,417.25,411.5,417.25,411.5,-,1.46%
12-Dec-17,411.25,413.5,418.75,411.25,-,-0.48%
11-Dec-17,413.25,417.75,418.75,411,-,-1.37%
08-Dec-17,419,420.5,424.62,418,-,-0.53%
07-Dec-17,421.25,425,425.75,419.75,-,-1.00%
06-Dec-17,425.5,432.25,433.62,424.75,-,-1.50%
05-Dec-17,432,435.5,436.12,431.25,-,-0.75%
04-Dec-17,435.25,439.5,442.75,435,-,-0.80%
01-Dec-17,438.75,432.5,438.75,432.25,-,1.01%
30-Nov-17,434.38,436,439,430.75,-,-0.09%
29-Nov-17,434.75,429.75,435.5,429.5,-,1.22%
28-Nov-17,429.5,429.25,431.25,424.5,-,4.98%
27-Nov-17,409.12,415.5,416,409.12,-,-1.65%
24-Nov-17,416,420.5,422,412.75,-,-1.48%
22-Nov-17,422.25,424.75,426.38,421,-,-0.53%
21-Nov-17,424.5,421.75,428.75,420.5,-,0.56%
20-Nov-17,422.12,427.25,427.25,419.5,-,-1.32%
17-Nov-17,427.75,421.62,428,421.5,-,1.48%
16-Nov-17,421.5,420.75,424.5,419.75,-,0.54%
15-Nov-17,419.25,427.5,428.25,418.25,-,-2.04%
14-Nov-17,428,425,429.5,423.5,-,1.00%
13-Nov-17,423.75,431.75,432,422.5,-,-1.85%
10-Nov-17,431.75,430,434.25,427.25,-,0.70%
09-Nov-17,428.75,426,432.25,424.25,-,0.53%
08-Nov-17,426.5,426.75,427.5,419,-,-0.12%
07-Nov-17,427,429.75,431,424.25,-,-0.93%
06-Nov-17,431,427.75,431.25,427.5,-,1.35%
03-Nov-17,425.25,427.5,429,422.5,-,-0.12%
02-Nov-17,425.75,418.25,426.5,418.25,-,1.73%
01-Nov-17,418.5,418.75,422,416.62,-,0.00%
31-Oct-17,418.5,425.5,426.5,416.5,-,-1.59%
30-Oct-17,425.25,426.75,428,422.75,-,-0.41%
27-Oct-17,427,431,431.25,425.25,-,-1.10%
26-Oct-17,431.75,435.5,437.5,431.25,-,-0.75%
25-Oct-17,435,438.5,443,434,-,-0.63%
24-Oct-17,437.75,437.5,438.88,433.25,-,0.11%
23-Oct-17,437.25,425.75,438.25,424,-,2.67%
20-Oct-17,425.88,433.25,435.75,425.25,-,-1.59%
19-Oct-17,432.75,430.25,436.25,429.75,-,0.64%
18-Oct-17,430,435,435.25,429.25,-,-1.09%
17-Oct-17,434.75,436.5,440.75,433.75,-,-0.34%
16-Oct-17,436.25,440.25,442.75,435.75,-,-0.80%
13-Oct-17,439.75,431.25,441,430.75,-,2.21%
12-Oct-17,430.25,433.25,437.75,428.5,-,-0.75%
11-Oct-17,433.5,435.25,435.5,430,-,-0.55%
10-Oct-17,435.88,436.38,439.75,434.25,-,-0.03%
09-Oct-17,436,445,445.75,435.75,-,-1.80%
06-Oct-17,444,441.5,444.75,439,-,0.62%
05-Oct-17,441.25,442.75,444.25,438.25,-,-0.28%
04-Oct-17,442.5,449,449.25,441.75,-,-1.34%
03-Oct-17,448.5,443.75,450.5,443.5,-,0.84%
02-Oct-17,444.75,445,448.62,439.75,-,-0.78%
29-Sep-17,448.25,455,459,446.5,-,-1.43%
28-Sep-17,454.75,461.25,462,454.12,-,-1.46%
27-Sep-17,461.5,454,462.75,449.25,-,1.76%
26-Sep-17,453.5,454.25,460.75,452,-,-0.11%
25-Sep-17,454,446.38,454.75,444.25,-,1.00%
22-Sep-17,449.5,452.5,454.88,448.25,-,-0.72%
21-Sep-17,452.75,451.5,454.5,445.75,-,0.72%
20-Sep-17,449.5,444.25,450.25,443,-,1.52%
19-Sep-17,442.75,443,446.75,435.75,-,-0.28%
18-Sep-17,444,448.5,450.88,442.5,-,-1.06%
15-Sep-17,448.75,443.25,450.38,441,-,1.53%
14-Sep-17,442,443.75,450.5,442,-,-0.56%
13-Sep-17,444.5,443.75,449.75,441.62,-,0.45%
12-Sep-17,442.5,433.75,443.75,428.5,-,1.84%
11-Sep-17,434.5,438.5,440,432,-,-0.74%
08-Sep-17,437.75,437.25,442,436,-,0.06%
07-Sep-17,437.5,446.5,446.5,436,-,-1.85%
06-Sep-17,445.75,441.25,448,440,-,0.51%
05-Sep-17,443.5,440.5,446.75,439.75,-,1.05%
01-Sep-17,438.88,434.75,440,434.12,-,0.78%
31-Aug-17,435.5,429.62,437.75,429.12,-,1.34%
30-Aug-17,429.75,433,433.5,427.5,-,0.06%
29-Aug-17,429.5,428,429.75,422.75,-,0.17%
28-Aug-17,428.75,434,436.5,426.75,-,4.57%
25-Aug-17,410,409.75,412.75,408.62,-,0.18%
24-Aug-17,409.25,403.5,411,400.75,-,1.52%
23-Aug-17,403.12,403.62,408.62,401.75,-,0.03%
22-Aug-17,403,410.5,413,402.5,-,-1.71%
21-Aug-17,410,414,418.75,408.75,-,-1.50%
18-Aug-17,416.25,415.25,417.75,412.12,-,0.54%
17-Aug-17,414,420,422.25,412.5,-,-1.25%
16-Aug-17,419.25,429.38,435.75,417.25,-,-2.50%
15-Aug-17,430,439.88,440.25,428.12,-,-2.38%
14-Aug-17,440.5,435,440.5,431.25,-,0.28%
11-Aug-17,439.25,441.5,444,434.62,-,-0.23%
10-Aug-17,440.25,458.25,461.88,439.5,-,-4.24%
09-Aug-17,459.75,456.5,461.5,454.25,-,0.60%
08-Aug-17,457,463.5,468,454.75,-,-1.46%
07-Aug-17,463.75,458.5,463.75,454.5,-,1.92%
04-Aug-17,455,457.75,461.38,454.75,-,-0.55%
03-Aug-17,457.5,460.88,463.75,454.5,-,-0.76%
02-Aug-17,461,463.12,466.75,456.38,-,-0.11%
01-Aug-17,461.5,472.25,478,460.88,-,-2.69%
31-Jul-17,474.25,474.5,480.75,472,-,-1.45%
28-Jul-17,481.25,479.5,489.25,478,-,0.10%
27-Jul-17,480.75,479.5,485.5,477.88,-,0.58%
26-Jul-17,478,474.5,480.75,474.25,-,0.61%
25-Jul-17,475.12,493,494,474.75,-,-2.81%
24-Jul-17,488.88,495,495.88,483.75,-,-2.13%
21-Jul-17,499.5,507.25,510.25,497.75,-,-1.21%
20-Jul-17,505.62,505.25,508.25,495.88,-,0.40%
19-Jul-17,503.62,504.25,508.88,500.25,-,-0.22%
18-Jul-17,504.75,508.5,517.75,504.5,-,-0.35%
17-Jul-17,506.5,508,512,503,-,-0.83%
14-Jul-17,510.75,513.5,520.5,508.5,-,-0.17%
13-Jul-17,511.62,533.75,534.75,509.62,-,-4.64%
12-Jul-17,536.5,549.5,552.5,535,-,-3.03%
11-Jul-17,553.25,556,559.25,541,-,0.50%
10-Jul-17,550.5,543,553.62,540.75,-,2.85%
07-Jul-17,535.25,537.25,545.75,530.25,-,-0.63%
06-Jul-17,538.62,558.38,558.88,535.25,-,-3.60%
05-Jul-17,558.75,561.62,574.25,537,-,0.79%
03-Jul-17,554.38,539.62,556.62,536.5,-,5.45%
30-Jun-17,525.75,498.25,525.75,497.5,-,6.02%
29-Jun-17,495.88,472.75,498.75,472.75,-,4.78%
28-Jun-17,473.25,470,475,468,-,0.91%
27-Jun-17,469,466,472.5,465.25,-,0.59%
26-Jun-17,466.25,471.5,474.25,464,-,1.36%
23-Jun-17,460,462.25,466.75,459.75,-,-0.22%
22-Jun-17,461,465.25,465.25,456,-,-0.81%
21-Jun-17,464.75,473.5,473.75,464.38,-,-1.48%
20-Jun-17,471.75,469.5,474.75,463.5,-,0.86%
19-Jun-17,467.75,461.75,473.25,458.75,-,0.38%
16-Jun-17,466,456.25,468.25,456,-,2.47%
15-Jun-17,454.75,442.12,457.12,437.5,-,2.62%
14-Jun-17,443.12,444.75,452.25,442.75,-,-0.31%
13-Jun-17,444.5,437.5,446.25,436.75,-,2.42%
12-Jun-17,434,443.25,444,431.38,-,-2.64%
09-Jun-17,445.75,447.25,454,443.75,-,-0.89%
08-Jun-17,449.75,446.75,455.75,446.62,-,1.12%
07-Jun-17,444.75,438,448.5,438,-,2.07%
06-Jun-17,435.75,430.25,440.75,429.75,-,1.46%
05-Jun-17,429.5,429.25,433.25,425.75,-,0.06%
02-Jun-17,429.25,427.75,433.75,426.75,-,0.00%
01-Jun-17,429.25,429.38,431.25,421.62,-,-0.06%
31-May-17,429.5,433.25,436.25,428.5,-,0.03%
30-May-17,429.38,439,439.25,426.5,-,-2.14%
26-May-17,438.75,430.25,439,429.5,-,1.86%
25-May-17,430.75,433.75,436,430.25,-,-0.40%
24-May-17,432.5,430,433,427.75,-,0.79%
23-May-17,429.12,434.5,435.75,428.25,-,-1.29%
22-May-17,434.75,438,442.5,434.75,-,-0.17%
19-May-17,435.5,426.25,436.75,426.25,-,2.23%
18-May-17,426,428.75,428.75,421.5,-,-0.35%
17-May-17,427.5,422.25,432.25,421.75,-,0.59%
16-May-17,425,422.5,425.75,420.5,-,0.18%
15-May-17,424.25,430.25,431,421.75,-,-1.96%
12-May-17,432.75,434.25,437.5,431.5,-,-0.17%
11-May-17,433.5,432.25,435.75,428.62,-,0.41%
10-May-17,431.75,429.5,435.5,426.25,-,0.47%
09-May-17,429.75,433.75,434.5,428.75,-,-0.98%
08-May-17,434,440.75,441.5,433,-,-2.03%
05-May-17,443,438.75,444,436.25,-,1.08%
04-May-17,438.25,454.5,455.25,436,-,-3.36%
03-May-17,453.5,452.25,456,446,-,-0.22%
02-May-17,454.5,457.25,461.5,448.5,-,-0.33%
01-May-17,456,441.5,456,439.38,-,5.40%
28-Apr-17,432.62,431.75,434.38,429.75,-,0.26%
27-Apr-17,431.5,426.5,433,425.25,-,1.29%
26-Apr-17,426,428.75,432.5,424.75,-,-0.29%
25-Apr-17,427.25,418.75,429.5,416.25,-,1.97%
24-Apr-17,419,424.25,424.75,418.25,-,3.27%
21-Apr-17,405.75,405.75,408,400.25,-,-0.25%
20-Apr-17,406.75,418.62,421.75,406.75,-,-2.81%
19-Apr-17,418.5,422,425.75,417.75,-,-0.89%
18-Apr-17,422.25,422.25,423.5,419.25,-,0.24%
17-Apr-17,421.25,430.25,431.25,420,-,-1.98%
13-Apr-17,429.75,433,436,429,-,-0.84%
12-Apr-17,433.38,433.5,436.5,431.5,-,-0.17%
11-Apr-17,434.12,428.25,434.75,424,-,1.25%
10-Apr-17,428.75,423.75,429,422.5,-,1.21%
07-Apr-17,423.62,422.5,425.5,419.75,-,0.15%
06-Apr-17,423,429.25,430.75,422,-,-1.69%
05-Apr-17,430.25,426.75,430.5,425.25,-,0.70%
04-Apr-17,427.25,426.25,432,426.25,-,-0.47%
03-Apr-17,429.25,430.5,434,428.75,-,0.82%
31-Mar-17,425.75,422,431.25,417,-,1.19%
30-Mar-17,420.75,425,426.25,419.75,-,-1.12%
29-Mar-17,425.5,424.25,427.5,422.75,-,0.18%
28-Mar-17,424.75,420.75,425.75,419.5,-,0.83%
27-Mar-17,421.25,425.5,425.75,418.5,-,-0.71%
24-Mar-17,424.25,421.5,426.25,421,-,0.71%
23-Mar-17,421.25,421.75,424.75,420.25,-,-0.24%
22-Mar-17,422.25,427.12,427.12,422,-,-1.00%
21-Mar-17,426.5,430.25,430.5,423.25,-,-0.99%
20-Mar-17,430.75,440.25,442.62,429.25,-,-1.37%
17-Mar-17,436.75,435.5,437.62,433,-,0.00%
16-Mar-17,436.75,436.5,440.75,434.75,-,0.17%
15-Mar-17,436,431.25,437,430.75,-,1.16%
14-Mar-17,431,431.25,434.5,428.75,-,0.06%
13-Mar-17,430.75,440.25,441.75,430.25,-,-2.55%
10-Mar-17,442,442.88,445.5,439.75,-,-0.39%
09-Mar-17,443.75,447.75,450.75,442.5,-,-0.84%
08-Mar-17,447.5,457.25,457.25,445.5,-,-1.92%
07-Mar-17,456.25,459.25,460.75,451,-,-0.54%
06-Mar-17,458.75,456.75,462.5,456.5,-,0.99%
03-Mar-17,454.25,451,455.5,448.25,-,0.17%
02-Mar-17,453.5,457.5,459.5,450.12,-,-0.82%
01-Mar-17,457.25,443,457.25,442.5,-,3.04%
